epoch,loss
0,-0.5260778246955146
1,-0.5281870044981377
2,-0.5320532174173315
3,-0.5331916227646033
4,-0.5354044454045345
5,-0.5379437273365526
6,-0.5391161105974488
7,-0.5417408256422639
8,-0.5439827115438421
9,-0.5466855526345785
10,-0.5487417304457745
11,-0.5509778209045071
12,-0.5523178843794647
13,-0.555512645468068
14,-0.558272538380123
15,-0.5601145994215859
16,-0.562989544356375
17,-0.5668915196182108
18,-0.5680898335674219
19,-0.5723655475340167
20,-0.5756880660154287
21,-0.5785452788052896
22,-0.5829009478907555
23,-0.587366485017018
24,-0.592550731034772
25,-0.5960095790996542
26,-0.6013044096408655
27,-0.6067830276184756
28,-0.6127243370239893
29,-0.6187337519504102
30,-0.6251281846584084
31,-0.631790209582584
32,-0.6393895291707037
33,-0.6472429006810761
34,-0.6578480657276073
35,-0.6645479133625382
36,-0.6743659620083342
37,-0.6856352316284371
38,-0.6957250429766328
39,-0.7057367184984437
40,-0.7168327141115336
41,-0.7275489023398717
42,-0.7343032125214993
43,-0.7420112464533657
44,-0.7478919767041349
45,-0.7558763516464679
46,-0.7622868451819985
47,-0.7648310699947387
48,-0.7697121061235349
49,-0.7718946491211212
50,-0.7750626524036174
51,-0.778600718044944
52,-0.7808018943623105
53,-0.7818570134409412
54,-0.7849055194954253
55,-0.7860081660185193
56,-0.7851922945051455
57,-0.7862538571186927
58,-0.7881879480648248
59,-0.7878876662687254
60,-0.7858934751351333
61,-0.7855047389299799
62,-0.7873772552876368
63,-0.7863441088952366
64,-0.785223928920419
65,-0.7842338350990753
66,-0.7832070132694205
67,-0.7800171299328885
68,-0.7815789461204626
69,-0.7786420833867447
70,-0.7764528983237323
71,-0.7749262592845844
72,-0.7739404296262049
73,-0.7725432830876339
74,-0.7709171439205094
75,-0.7705721118007877
76,-0.7689241958808601
77,-0.7683038810742998
78,-0.7661595941368677
79,-0.7645194269033995
80,-0.7634857221496874
81,-0.7617413622766818
82,-0.7609087827383871
83,-0.758154789596738
84,-0.757883041596518
85,-0.7555047190208025
86,-0.7559483666219092
87,-0.7563901648262186
88,-0.7573366168068242
89,-0.7575766270268418
90,-0.7584238350740155
91,-0.7592389087358308
92,-0.7616634260170281
93,-0.7645209068240546
94,-0.7684488158529574
95,-0.7671288909897328
96,-0.7717174917229179
97,-0.7718245205660286
98,-0.7737798137829739
99,-0.7797279831204015
100,-0.7836877642025117
101,-0.7848646598953783
102,-0.7870534494793104
103,-0.7923159969137277
104,-0.7948776879830732
105,-0.8006127777891594
106,-0.8093556831958123
107,-0.8104124690150236
108,-0.812139509093018
109,-0.8191052840713781
110,-0.8188794299939774
111,-0.8229793013796476
112,-0.8295085543988808
113,-0.8330321682016892
114,-0.8365775807721617
115,-0.8400860054345232
116,-0.8447691095941563
117,-0.8489305281744445
118,-0.85357772193383
119,-0.856489785742076
120,-0.8674851320901311
121,-0.8740087235754554
122,-0.8748875837841517
123,-0.8801226198641334
124,-0.885733616477032
125,-0.8896676628893248
126,-0.895037813496721
127,-0.8992407566344224
128,-0.9054378879650131
129,-0.9114216855487732
130,-0.916528378607763
131,-0.8992461648300312
132,-0.9089025496908628
133,-0.916084960978319
134,-0.9227360184906169
135,-0.9242608709199615
136,-0.9342656218703758
137,-0.9662254918355409
138,-0.9733920268128845
139,-0.9759213750900742
140,-0.9898115771925274
141,-0.9945659897455909
142,-1.0055828443512946
143,-1.0031714333537662
144,-1.0278363070109107
145,-1.03115461705373
146,-1.0405343425274585
147,-1.0426931179614647
148,-1.0542272946282323
149,-1.0691394886890622
150,-1.0758356144965722
151,-1.0868408690903166
152,-1.048674141813889
153,-1.102299747699035
154,-1.119469857982279
155,-1.1258749378545372
156,-1.137827861406425
157,-1.1499620312341607
158,-1.162614363800521
159,-1.1701965213760945
160,-1.1806458042086523
161,-1.1901873945863035
162,-1.2017921270531404
163,-1.2077389038569857
164,-1.2185542199064072
165,-1.2254355207013203
166,-1.2417551654202228
167,-1.2509993684572478
168,-1.2544764955974341
169,-1.2602642568006777
170,-1.2761190678950634
171,-1.2917641602028012
172,-1.3072473570825254
173,-1.3234759544112602
174,-1.333568750750809
175,-1.3399597185973224
176,-1.3668984935895343
177,-1.3774279490653207
178,-1.3727873282636436
179,-1.372146650431049
180,-1.3430080649300293
181,-1.279752982158919
182,-1.3000685903035394
183,-1.338799031362248
184,-1.2794801523203567
185,-1.2255178828915014
186,-1.2320508523890765
187,-1.2213025302014373
188,-1.2239431372064802
189,-1.2435792086761674
190,-1.2702225773919982
191,-1.2840122617956113
192,-1.2906711645876237
193,-1.3019034778026997
194,-1.3116529199789846
195,-1.3193952614416127
196,-1.32505842088929
197,-1.2246148933113838
198,-1.3204764389846395
199,-1.332148915577034
