epoch,loss
0,-0.4962990696066493
1,-0.49998986880445395
2,-0.5037789239432708
3,-0.5058297826765166
4,-0.5098507793604972
5,-0.5128876979608913
6,-0.5165645878346021
7,-0.5197712424222845
8,-0.523102762361089
9,-0.5268871958364538
10,-0.5307477923683898
11,-0.5344399633891047
12,-0.5385129162318733
13,-0.5424895230427061
14,-0.5454782570601537
15,-0.5502024618931537
16,-0.5545390743598303
17,-0.5605209300452199
18,-0.5646131693898824
19,-0.5697615129750769
20,-0.575674929176745
21,-0.5805556441082479
22,-0.5863769548623016
23,-0.5915829813649671
24,-0.5989131173207544
25,-0.6060457291227278
26,-0.6138537469005236
27,-0.6229150644956796
28,-0.6313401969309527
29,-0.640332442841762
30,-0.6519851828189056
31,-0.6633065264949064
32,-0.6737107361479862
33,-0.6850724649073209
34,-0.6991671151605973
35,-0.7114885448526703
36,-0.7238932622294435
37,-0.737981362096136
38,-0.7508417305270662
39,-0.7627654267222347
40,-0.7740075777901915
41,-0.7856059831040566
42,-0.7972199256211367
43,-0.8066033153788328
44,-0.8155657898982134
45,-0.8230349138688307
46,-0.8309329974050339
47,-0.8365737065628865
48,-0.8434252560218092
49,-0.8454827744990712
50,-0.8507525459871244
51,-0.854983048129237
52,-0.8598458981460582
53,-0.8632867884030431
54,-0.8671386488228959
55,-0.8704748101534397
56,-0.8710144466967213
57,-0.8734357080466377
58,-0.877894178110199
59,-0.880202458061662
60,-0.879706177946097
61,-0.8794085992561029
62,-0.8807723746454439
63,-0.8807565314811404
64,-0.8817359617921243
65,-0.8833151865275256
66,-0.8847713936568783
67,-0.8849565991269159
68,-0.8845446889158946
69,-0.8855362518924302
70,-0.8865674255566651
71,-0.8882738465251033
72,-0.8893964202370288
73,-0.8913442990101462
74,-0.891138627900301
75,-0.894193049623999
76,-0.8963817952608345
77,-0.8998420868198197
78,-0.8991941514763752
79,-0.8974360065137701
80,-0.9006652522503733
81,-0.8999926223771215
82,-0.9021415245706832
83,-0.9037295914574733
84,-0.9058905737948966
85,-0.906829316389308
86,-0.9059586641451347
87,-0.9016493018353844
88,-0.9028367643239824
89,-0.9018996754284199
90,-0.9041994002083171
91,-0.9041098357661502
92,-0.9038358827111462
93,-0.9010721303299224
94,-0.9166557694505995
95,-0.9187813577518747
96,-0.9177489220086389
97,-0.9185717716820193
98,-0.9238479252340843
99,-0.9355766187384216
100,-0.9400883135610129
101,-0.9460090273753832
102,-0.9483122566066946
103,-0.9546664572068977
104,-0.9687626642481507
105,-0.9864973715618217
106,-0.9971768232733695
107,-1.0032494272288341
108,-1.005070743040429
109,-1.004703347098355
110,-1.013892720566673
111,-1.0262329072966208
112,-1.037123043162424
113,-1.0435925742822159
114,-1.0531983252301504
115,-1.0590705495544093
116,-1.0675545571912228
117,-1.0763705675853472
118,-1.0798191636413423
119,-1.0922216267484803
120,-1.1002084390740199
121,-1.0631818470548973
122,-1.0047898240133113
123,-1.0088501365725278
124,-1.0153318328218925
125,-1.000199148317925
126,-1.0033250163950076
127,-1.0069246039253332
128,-1.0148150811162602
129,-1.0225124504704373
130,-1.0296100852094767
131,-1.0340618880772194
132,-1.063468133217165
133,-1.0699575648594066
134,-1.0762161669261352
135,-1.0852976625471382
136,-1.0937427939187616
137,-1.1017109661004008
138,-1.106173249902306
139,-1.1120280998655736
140,-1.1194944049587623
141,-1.1240213161922123
142,-1.1302567745941592
143,-1.1361490954379532
144,-1.143595103325368
145,-1.1485888610418693
146,-1.1521839339411002
147,-1.1615033176427574
148,-1.1641838391050086
149,-1.1701426124615304
150,-1.1719284870919044
151,-1.1754137947256664
152,-1.1540355853065756
153,-1.1848935384279926
154,-1.2034107426352274
155,-1.196639942216856
156,-1.2056136001301234
157,-1.2149215951068053
158,-1.216891872509947
159,-1.2259529915224012
160,-1.232963658825888
161,-1.2329959919189493
162,-1.2415960774760824
163,-1.247255877384041
164,-1.2571316463813789
165,-1.260576573901225
166,-1.267142987268735
167,-1.2731453090893365
168,-1.2773983566981062
169,-1.288352149527743
170,-1.2939641234099137
171,-1.2986949023415668
172,-1.305409693207592
173,-1.315423823046962
174,-1.3236933484474327
175,-1.3312743192658372
176,-1.333826237460535
177,-1.3388842837835646
178,-1.3497522647904452
179,-1.3651167073020203
180,-1.3653487924355525
181,-1.366214863166509
182,-1.393146896483199
183,-1.3672537421496966
184,-1.367821586456173
185,-1.4021443187864744
186,-1.3874072052114768
187,-1.3832647338868964
188,-1.394899042062292
189,-1.4272222911836263
190,-1.4177926732322745
191,-1.3995691718502439
192,-1.4104172342764103
193,-1.4455135340437733
194,-1.4612557770593853
195,-1.4305828366614195
196,-1.4393279469954896
197,-1.4474750340481695
198,-1.4773964537472835
199,-1.515588413264651
