config,sharpe,cagr,max_drawdown,sortino,calmar,avg_turnover,concentration_hhi
erc_baseline,0.498,0.0414,-0.329,0.617,0.126,0.0094,0.1421
erc_regime,0.31,0.0259,-0.4486,0.354,0.058,0.011,0.1305
erc_blend,0.406,0.0331,-0.387,0.484,0.085,0.0108,0.13
equal_weight,0.4,0.0387,-0.4044,0.486,0.096,0.01,0.1001
