config,sharpe,cagr,max_drawdown,sortino,calmar,avg_turnover,concentration_hhi
erc_baseline,0.807,0.0663,-0.2084,1.063,0.318,0.0081,0.1461
erc_regime,0.764,0.0634,-0.2141,0.985,0.296,0.0104,0.1414
erc_blend,0.763,0.0632,-0.2148,0.983,0.294,0.0098,0.1413
equal_weight,0.893,0.092,-0.2053,1.094,0.448,0.0096,0.1112
